15/10/2020	$ 11.384,80	$ 376,70	$ 49,64	$ 127,60
14/10/2020	$ 11.398,00	$ 381,74	$ 50,02	$ 133,14
13/10/2020	$ 11.458,60	$ 382,85	$ 50,06	$ 128,61
12/10/2020	$ 11.390,40	$ 374,21	$ 50,07	$ 128,83
11/10/2020	$ 11.335,50	$ 370,67	$ 49,15	$ 115,40
10/10/2020	$ 11.415,00	$ 376,15	$ 49,92	$ 116,78
9/10/2020	$ 10.894,40	$ 350,27	$ 46,98	$ 110,11
8/10/2020	$ 10.647,00	$ 339,41	$ 46,41	$ 110,65
7/10/2020	$ 10.579,60	$ 337,07	$ 45,63	$ 103,78
6/10/2020	$ 10.770,00	$ 353,95	$ 46,62	$ 112,97
5/10/2020	$ 10.676,20	$ 352,18	$ 46,28	$ 105,38
4/10/2020	$ 10.554,40	$ 346,12	$ 45,53	$ 102,23
3/10/2020	$ 10.557,30	$ 348,29	$ 45,41	$ 102,75
2/10/2020	$ 10.647,30	$ 353,16	$ 46,59	$ 103,78
1/10/2020	$ 10.801,60	$ 362,45	$ 46,49	$ 111,40
30/9/2020	$ 10.748,50	$ 355,71	$ 45,51	$ 99,00
29/9/2020	$ 10.691,90	$ 353,05	$ 45,50	$ 95,65
28/9/2020	$ 10.891,60	$ 358,12	$ 46,71	$ 97,63
27/9/2020	$ 10.787,90	$ 359,73	$ 46,23	$ 95,82
26/9/2020	$ 10.716,50	$ 351,02	$ 45,99	$ 93,76
25/9/2020	$ 10.672,30	$ 345,19	$ 44,47	$ 92,26
24/9/2020	$ 10.307,00	$ 324,88	$ 43,52	$ 88,51
23/9/2020	$ 10.480,80	$ 341,18	$ 44,29	$ 92,20
22/9/2020	$ 10.449,70	$ 343,19	$ 43,48	$ 89,89
21/9/2020	$ 10.966,40	$ 375,02	$ 47,12	$ 93,34
20/9/2020	$ 10.951,20	$ 381,54	$ 48,13	$ 93,15
19/9/2020	$ 10.980,10	$ 383,10	$ 48,33	$ 92,34
18/9/2020	$ 10.930,00	$ 387,65	$ 48,68	$ 92,98
17/9/2020	$ 10.876,90	$ 377,10	$ 48,28	$ 87,94
16/9/2020	$ 10.784,20	$ 359,77	$ 47,98	$ 90,77
15/9/2020	$ 10.760,40	$ 376,21	$ 49,62	$ 91,10
14/9/2020	$ 10.360,80	$ 365,76	$ 48,00	$ 85,14
13/9/2020	$ 10.559,20	$ 389,00	$ 50,92	$ 87,45
12/9/2020	$ 10.354,00	$ 369,52	$ 48,88	$ 83,71
11/9/2020	$ 10.224,90	$ 357,36	$ 47,62	$ 83,16
10/9/2020	$ 10.381,00	$ 370,71	$ 49,13	$ 85,54
9/9/2020	$ 10.031,70	$ 334,09	$ 46,91	$ 82,73
8/9/2020	$ 10.310,50	$ 348,91	$ 48,62	$ 83,23
7/9/2020	$ 10.212,30	$ 348,28	$ 47,79	$ 79,52
6/9/2020	$ 10.179,90	$ 328,35	$ 47,30	$ 76,73
5/9/2020	$ 10.418,90	$ 387,45	$ 50,07	$ 82,58
