DATE,BTC,ETH,LTC,XMR,CZK
30/12/2020,28000.87,731.35,127.56,163.77709,28.957
30/12/2020,27914.8,728.8,126.99,163.38532,28.957
30/12/2020,27910.94,729,127.01,163.39064,28.957
30/12/2020,27903.93,728.99,126.99,163.40541,28.957
